Time,Signal_Type,Value
18609.3,ORDEN_MEDICA,3
18610.5,CAUDAL_ACTUADOR,2.76361
19150.5,CAUDAL_ACTUADOR,3.33496
19156,ALARMA_MEDIA,-5
19159.4,CAUDAL_ACTUADOR,2.70035
19521.4,CAUDAL_ACTUADOR,2.73932
19819.8,ORDEN_MEDICA,22
19820.2,CAUDAL_ACTUADOR,19.3908
19825,ALARMA_MEDIA,-5
19828.3,CAUDAL_ACTUADOR,19.8857
19879.3,CAUDAL_ACTUADOR,24.3404
19885,ALARMA_MEDIA,-5
19890,ALARMA_CRITICA,-6
19890.5,CAUDAL_ACTUADOR,0
19907,CONFIRMACION_ENFERMERO,-2
19909.3,CAUDAL_ACTUADOR,19.602
19914,ALARMA_MEDIA,-5
19915.2,CAUDAL_ACTUADOR,19.4769
19919,ALARMA_CRITICA,-6
19919.2,CAUDAL_ACTUADOR,0
19949,ALARMA_CRITICA,-6
19959,ALARMA_CRITICA,-6
19969,ALARMA_CRITICA,-6
19979,ALARMA_CRITICA,-6
19989,ALARMA_CRITICA,-6
19999,ALARMA_CRITICA,-6
20009,ALARMA_CRITICA,-6
20019,ALARMA_CRITICA,-6
20029,ALARMA_CRITICA,-6
20039,ALARMA_CRITICA,-6
20049,ALARMA_CRITICA,-6
20059,ALARMA_CRITICA,-6
20069,ALARMA_CRITICA,-6
20079,ALARMA_CRITICA,-6
20080,CONFIRMACION_ENFERMERO,-2
20080.2,CAUDAL_ACTUADOR,20.5466
20654.2,CAUDAL_ACTUADOR,21.6054
20666.2,CAUDAL_ACTUADOR,19.4633
20672,ALARMA_MEDIA,-5
20675.5,CAUDAL_ACTUADOR,23.5449
20857.2,ORDEN_MEDICA,75
20858.3,CAUDAL_ACTUADOR,69.417
21177.7,ORDEN_MEDICA,113
21180,CAUDAL_ACTUADOR,117.921
21207,CAUDAL_ACTUADOR,111.207
21538,CAUDAL_ACTUADOR,124.235
21829,CAUDAL_ACTUADOR,106.507
22268,CAUDAL_ACTUADOR,111.555
22741,CAUDAL_ACTUADOR,112.128
23178,CAUDAL_ACTUADOR,108.169
23699,CAUDAL_ACTUADOR,121.487
24288,CAUDAL_ACTUADOR,122.385
24442,CAUDAL_ACTUADOR,114.111
24653,CAUDAL_ACTUADOR,100.225
24658,ALARMA_MEDIA,-5
24662,ALARMA_CRITICA,-6
24662.2,CAUDAL_ACTUADOR,0
24692,ALARMA_CRITICA,-6
24702,ALARMA_CRITICA,-6
24712,ALARMA_CRITICA,-6
24722,ALARMA_CRITICA,-6
24732,ALARMA_CRITICA,-6
24742,ALARMA_CRITICA,-6
24752,ALARMA_CRITICA,-6
24762,ALARMA_CRITICA,-6
24772,ALARMA_CRITICA,-6
24782,ALARMA_CRITICA,-6
24791,CONFIRMACION_ENFERMERO,-2
24791.1,CAUDAL_ACTUADOR,120.496
25281.1,CAUDAL_ACTUADOR,116.775
25401.1,CAUDAL_ACTUADOR,124.809
25407,ALARMA_MEDIA,-5
25412,ALARMA_CRITICA,-6
25412.4,CAUDAL_ACTUADOR,0
25442,ALARMA_CRITICA,-6
25452,ALARMA_CRITICA,-6
25459,CONFIRMACION_ENFERMERO,-2
25461.3,CAUDAL_ACTUADOR,106.756
25532.3,CAUDAL_ACTUADOR,114.224
25709.3,CAUDAL_ACTUADOR,117.118
25835.3,CAUDAL_ACTUADOR,101.765
26081.3,CAUDAL_ACTUADOR,114.868
