Time,Signal_Type,Value
18412.2,CAUDAL_ACTUADOR,35.5345
18413,CAUDAL_ACTUADOR,33.9029
18683,CAUDAL_ACTUADOR,33.5177
19165,CAUDAL_ACTUADOR,35.7888
19450,CAUDAL_ACTUADOR,35.5027
19823,CAUDAL_ACTUADOR,36.3547
19874,CAUDAL_ACTUADOR,37.7421
20460,CAUDAL_ACTUADOR,38.4097
20960,CAUDAL_ACTUADOR,36.8884
21203,CAUDAL_ACTUADOR,40.4014
21317,CAUDAL_ACTUADOR,37.1573
21475.9,ORDEN_MEDICA,124
21478.3,CAUDAL_ACTUADOR,118.822
21611.3,CAUDAL_ACTUADOR,128.126
21806.3,CAUDAL_ACTUADOR,119.186
21986.3,CAUDAL_ACTUADOR,113.17
22260.3,CAUDAL_ACTUADOR,109.281
22266,ALARMA_MEDIA,-5
22267.4,CAUDAL_ACTUADOR,134.878
22752.4,CAUDAL_ACTUADOR,110.583
22758,ALARMA_MEDIA,-5
22759,CAUDAL_ACTUADOR,134.868
22760.4,CAUDAL_ACTUADOR,128.676
22963.4,CAUDAL_ACTUADOR,113.039
23548.4,CAUDAL_ACTUADOR,110.71
23554,ALARMA_MEDIA,-5
23555.3,CAUDAL_ACTUADOR,112.665
23556.2,CAUDAL_ACTUADOR,119.891
24109.2,FIN_BOLSA,-1
24109.2,ALARMA_BAJA,-4
24110.2,CAUDAL_ACTUADOR,135.568
24117.5,CAUDAL_ACTUADOR,0
24173.2,CONFIRMACION_ENFERMERO,-2
24173.2,CAUDAL_ACTUADOR,133.815
24542.2,CAUDAL_ACTUADOR,112.061
25043.2,CAUDAL_ACTUADOR,114.169
25632.2,CAUDAL_ACTUADOR,115.831
26082.2,CAUDAL_ACTUADOR,117.775
