Time,Signal_Type,Value
14301.1,CAUDAL_ACTUADOR,40.5958
14638.1,CAUDAL_ACTUADOR,40.3209
14684.1,CAUDAL_ACTUADOR,37.6767
15064.1,CAUDAL_ACTUADOR,34.9923
15352.1,CAUDAL_ACTUADOR,36.9325
15501.1,CAUDAL_ACTUADOR,40.0986
15961.1,CAUDAL_ACTUADOR,35.1446
16498.1,CAUDAL_ACTUADOR,38.6355
16841.1,CAUDAL_ACTUADOR,33.7948
16848.1,CAUDAL_ACTUADOR,36.9327
17162.1,CAUDAL_ACTUADOR,38.9914
17284.1,CAUDAL_ACTUADOR,34.5311
17704.1,CAUDAL_ACTUADOR,33.6368
18026.1,CAUDAL_ACTUADOR,35.7607
18166.1,CAUDAL_ACTUADOR,40.8352
18172,ALARMA_MEDIA,-5
18177,ALARMA_CRITICA,-6
18177.3,CAUDAL_ACTUADOR,0
18202,CONFIRMACION_ENFERMERO,-2
18203,CAUDAL_ACTUADOR,33.9029
18473,CAUDAL_ACTUADOR,33.5177
18955,CAUDAL_ACTUADOR,35.7888
19240,CAUDAL_ACTUADOR,35.5027
19613,CAUDAL_ACTUADOR,36.3547
19664,CAUDAL_ACTUADOR,37.7421
20250,CAUDAL_ACTUADOR,38.4097
20713.4,ORDEN_MEDICA,40
20715.6,CAUDAL_ACTUADOR,37.1953
21040.6,CAUDAL_ACTUADOR,39.2915
21250.6,CAUDAL_ACTUADOR,38.9861
21470.6,CAUDAL_ACTUADOR,38.3297
21603.6,CAUDAL_ACTUADOR,41.3311
21798.6,CAUDAL_ACTUADOR,38.4471
21978.6,CAUDAL_ACTUADOR,36.5063
22252.6,CAUDAL_ACTUADOR,35.2519
22258,ALARMA_MEDIA,-5
22259.4,CAUDAL_ACTUADOR,43.5091
22744.4,CAUDAL_ACTUADOR,35.672
22750,ALARMA_MEDIA,-5
22753.2,CAUDAL_ACTUADOR,36.1558
23083.4,ORDEN_MEDICA,2
23084.7,CAUDAL_ACTUADOR,1.9797
23553.7,CAUDAL_ACTUADOR,2.0922
24143.7,CAUDAL_ACTUADOR,1.81717
24178.7,FIN_BOLSA,-1
24178.7,ALARMA_BAJA,-4
24196.9,CAUDAL_ACTUADOR,0
24437.7,CONFIRMACION_ENFERMERO,-2
24437.8,CAUDAL_ACTUADOR,1.98876
24571.8,CAUDAL_ACTUADOR,2.05267
24820.8,CAUDAL_ACTUADOR,2.05708
25175.8,CAUDAL_ACTUADOR,1.87215
25722.8,CAUDAL_ACTUADOR,1.79364
25728,ALARMA_MEDIA,-5
25733,ALARMA_CRITICA,-6
25733.2,CAUDAL_ACTUADOR,0
25763,ALARMA_CRITICA,-6
25773,ALARMA_CRITICA,-6
25783,ALARMA_CRITICA,-6
25787,CONFIRMACION_ENFERMERO,-2
25789.4,CAUDAL_ACTUADOR,1.88359
26315.4,CAUDAL_ACTUADOR,2.06046
26512.4,CAUDAL_ACTUADOR,1.90792
26701.4,CAUDAL_ACTUADOR,1.85505
26831.4,CAUDAL_ACTUADOR,1.81267
26892.4,CAUDAL_ACTUADOR,2.13549
27214.4,CAUDAL_ACTUADOR,1.85617
27319.4,CAUDAL_ACTUADOR,1.91152
27747.4,CAUDAL_ACTUADOR,1.87088
28296.4,CAUDAL_ACTUADOR,2.01577
28599.4,CAUDAL_ACTUADOR,2.02659
28897.4,CAUDAL_ACTUADOR,1.9425
28941.4,CAUDAL_ACTUADOR,1.9066
28944.4,CAUDAL_ACTUADOR,1.88501
28948.4,CAUDAL_ACTUADOR,2.02511
29230.4,CAUDAL_ACTUADOR,2.08927
29369.4,CAUDAL_ACTUADOR,2.09497
29921.4,CAUDAL_ACTUADOR,2.07003
30056.4,CAUDAL_ACTUADOR,2.01582
30149.4,CAUDAL_ACTUADOR,2.05685
30477.4,CAUDAL_ACTUADOR,2.00889
30507.4,CAUDAL_ACTUADOR,1.93383
31072.4,CAUDAL_ACTUADOR,2.14491
31302.4,CAUDAL_ACTUADOR,1.83338
31838.4,CAUDAL_ACTUADOR,1.79051
31844,ALARMA_MEDIA,-5
31847.2,CAUDAL_ACTUADOR,1.76274
31849,ALARMA_CRITICA,-6
31849.1,CAUDAL_ACTUADOR,0
31874,CONFIRMACION_ENFERMERO,-2
31874.3,CAUDAL_ACTUADOR,2.18192
32016.3,CAUDAL_ACTUADOR,1.91035
32043.3,CAUDAL_ACTUADOR,1.84941
32505.3,CAUDAL_ACTUADOR,2.00166
32866.3,CAUDAL_ACTUADOR,2.08431
33290.3,CAUDAL_ACTUADOR,1.85173
33372.3,CAUDAL_ACTUADOR,2.09891
33629.6,ORDEN_MEDICA,25
33632.1,CAUDAL_ACTUADOR,25.3087
33859.1,CAUDAL_ACTUADOR,24.9664
33904.2,ORDEN_MEDICA,14
33906.6,CAUDAL_ACTUADOR,15.6642
33912,ALARMA_MEDIA,-5
33917,ALARMA_CRITICA,-6
33917.4,CAUDAL_ACTUADOR,0
33936,CONFIRMACION_ENFERMERO,-2
33937.1,CAUDAL_ACTUADOR,13.9011
34308.1,CAUDAL_ACTUADOR,14.9928
34789.1,CAUDAL_ACTUADOR,15.2534
34983.1,CAUDAL_ACTUADOR,13.7059
35411.1,CAUDAL_ACTUADOR,14.3256
35415.3,ORDEN_MEDICA,14
35416.8,CAUDAL_ACTUADOR,14.061
35827.8,CAUDAL_ACTUADOR,14.0506
36017.8,CAUDAL_ACTUADOR,13.9658
36173.8,CAUDAL_ACTUADOR,12.483
36179,ALARMA_MEDIA,-5
36181.1,CAUDAL_ACTUADOR,13.7079
36552.1,CAUDAL_ACTUADOR,13.6867
36694.7,ORDEN_MEDICA,6
36695.7,CAUDAL_ACTUADOR,6.71304
36701,ALARMA_MEDIA,-5
36706,ALARMA_CRITICA,-6
36706.5,CAUDAL_ACTUADOR,0
36736,ALARMA_CRITICA,-6
36746,ALARMA_CRITICA,-6
36756,ALARMA_CRITICA,-6
36766,ALARMA_CRITICA,-6
36774,CONFIRMACION_ENFERMERO,-2
36774.4,CAUDAL_ACTUADOR,6.57468
36904.4,CAUDAL_ACTUADOR,5.76034
37164.4,CAUDAL_ACTUADOR,5.59556
37403.4,CAUDAL_ACTUADOR,6.64774
37409,ALARMA_MEDIA,-5
37410.4,CAUDAL_ACTUADOR,5.93958
37504.4,CAUDAL_ACTUADOR,6.38368
38004.4,CAUDAL_ACTUADOR,6.37672
38444.4,CAUDAL_ACTUADOR,5.75786
38608.4,CAUDAL_ACTUADOR,6.08753
39003.4,CAUDAL_ACTUADOR,6.17592
39251.4,CAUDAL_ACTUADOR,5.96826
39356.8,ORDEN_MEDICA,82
